,content,director,main_performer,name,quote,rating_num,year
0,犯罪 剧情, 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /...,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),希望让人自由。,9.7,1994
1,大陆 中国香港剧情 爱情 同性, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,霸王别姬 / 再见，我的妾  /  Farewell My Concubine,风华绝代。,9.6,1993
2,剧情 爱情, 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ...,阿甘正传 / Forrest Gump / 福雷斯特·冈普,一部美国近现代史。,9.5,1994
3,剧情 动作 犯罪, 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),怪蜀黍和小萝莉不得不说的故事。,9.4,1994
4,利剧情 喜剧 爱情 战争, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni...,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,最美的谎言。,9.5,1997
5,剧情 爱情 灾难, 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo...,泰坦尼克号 / Titanic / 铁达尼号(港 / 台),失去的才是永恒的。 ,9.4,1997
6,剧情 动画 奇幻, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi Hîragi / 入野自由 Miy...,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  千与千寻的神隐,最好的宫崎骏，最好的久石让。 ,9.3,2001
7,剧情 历史 战争, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson...,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,拯救一个人，就是拯救整个世界。,9.5,1993
8, 英国剧情 科幻 悬疑 冒险, 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le...,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),诺兰给了我们一场无法盗取的梦。,9.3,2010
9, 英国剧情, 莱塞·霍尔斯道姆 Lasse Hallström, 理查·基尔 Richard Ger...,忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),永远都不能忘记你所爱的人。,9.3,2009
10,利剧情 音乐, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ...,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.3,1998
11,科幻 动画 冒险, 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽...,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),小瓦力，大人生。,9.3,2008
12,剧情 喜剧 爱情 歌舞, 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡...,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),英俊版憨豆，高情商版谢耳朵。,9.2,2009
13,剧情 科幻, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,如果再也不能见到你，祝你早安，午安，晚安。,9.3,1998
14, 瑞士 德国剧情 音乐, 克里斯托夫·巴拉蒂 Christophe Barratier, 热拉尔·朱尼奥 Gé...,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,天籁一般的童声，是最接近上帝的存在。 ,9.3,2004
15, 英国 加拿大 冰岛剧情 科幻 冒险, 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc...,星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),爱是一种力量，让我们超越时空感知它的存在。,9.3,2014
16,香港 中国大陆喜剧 爱情 奇幻 古装, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,一生所爱。,9.2,1995
17,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki, 日高法子 Noriko Hidaka / 坂本千夏 Ch...,龙猫 / となりのトトロ / 邻居托托罗  /  邻家的豆豆龙,人人心中都有个龙猫，童年就永远不会消失。,9.2,1988
18,剧情, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,2011
19,香港剧情 犯罪 悬疑, 刘伟强 / 麦兆辉, 刘德华 / 梁朝伟 / 黄秋生,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,香港电影史上永不过时的杰作。,9.2,2002
20,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M...,教父 / The Godfather / Mario Puzo's The Godfather,千万不要记恨你的对手，这样会让你失去理智。,9.3,1972
21,喜剧 动画 冒险, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore, 金妮弗·...,疯狂动物城 / Zootopia / 优兽大都会(港)  /  动物方城市(台),迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,2016
22,剧情 传记 家庭, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ...,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,平民励志片。 ,9.1,2006
23,剧情 喜剧 爱情, 罗伯·莱纳 Rob Reiner, 玛德琳·卡罗尔 Madeline Carroll / 卡...,怦然心动 / Flipped / 萌动青春  /  青春萌动,真正的幸福是来自内心深处。,9.0,2010
24,剧情 喜剧, 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,无法显示,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),满满温情的高雅喜剧。,9.2,2011
25, 英国剧情 动作 科幻 犯罪 惊悚, 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ...,蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),无尽的黑暗。,9.2,2008
26,大陆 中国香港剧情 历史 家庭, 张艺谋 Yimou Zhang, 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,活着 / 人生  /  Lifetimes,张艺谋最好的电影。,9.2,1994
27,剧情 犯罪 悬疑, 比利·怀尔德 Billy Wilder, 泰隆·鲍华 Tyrone Power / 玛琳·...,控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,比利·怀德满分作品。,9.6,1957
28,剧情 历史 爱情 战争, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor, 费...,乱世佳人 / Gone with the Wind / 飘,Tomorrow is another day.,9.3,1939
29, 中国台湾 英国 加拿大剧情 奇幻 冒险, 李安 Ang Lee, 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,瑰丽壮观、无人能及的冒险之旅。,9.0,2012
30,剧情 传记 运动 家庭, 涅提·蒂瓦里 Nitesh Tiwari, 阿米尔·汗 Aamir Khan / 法缇玛...,摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)  /  打死不离3父女(港),你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.0,2016
31, 新西兰剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson, 维果·莫腾森 Viggo Mortensen / ...,指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台 / 港) ,史诗的终章。,9.2,2003
32,剧情 喜剧 动画 冒险, 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson, 爱德...,飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),最后那些最无聊的事情，才是最值得怀念的。 ,9.0,2009
33,大陆剧情 历史 战争, 姜文 Wen Jiang, 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,鬼子来了 / Devils on the Doorstep,对敌人的仁慈，就是对自己残忍。,9.2,2000
34,剧情, Sidney Lumet, 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,1957年的理想主义。 ,9.4,1957
35,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki, 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,对天空的追逐，永不停止。 ,9.1,1986
36,喜剧 动画 奇幻 音乐, 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina, ...,寻梦环游记 / Coco / 可可夜总会(台)  /  玩转极乐园(港),死亡不是真的逝去，遗忘才是永恒的消亡。,9.1,2017
37,利 法国剧情 爱情, 朱塞佩·托纳多雷 Giuseppe Tornatore, 安东内拉·阿蒂利 Anton...,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2,1988
38, 意大利 中国大陆 法国剧情 传记 历史, 贝纳尔多·贝托鲁奇 Bernardo Bertolucci, 尊龙 John Lone / 陈...,末代皇帝 / The Last Emperor / 末代皇帝溥仪(港),“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.2,1987
39,香港 中国大陆喜剧 爱情 奇幻 古装, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,旷古烁今。,9.0,1995
40,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki, 倍赏千惠子 Chieko Baishô / 木村拓...,哈尔的移动城堡 / ハウルの動く城 / 哈尔移动城堡(港)  /  呼啸山城,带着心爱的人在天空飞翔。,9.0,2004
41,喜剧 剧情 爱情, 威廉·惠勒 William Wyler, 奥黛丽·赫本 Audrey Hepburn / 格...,罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),爱情哪怕只有一天。,9.0,1953
42, 德国剧情 动作 悬疑 惊悚, 大卫·芬奇 David Fincher, 爱德华·诺顿 Edward Norton / 布拉...,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,1999
43,剧情, 马丁·布莱斯 Martin Brest, 阿尔·帕西诺 Al Pacino / 克里斯...,闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,史上最美的探戈。,9.0,1992
44,剧情, 李濬益 Jun-ik Lee, 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,素媛 / 소원 / 许愿  /  希望：为爱重生(台),受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.2,2013
45,剧情, 杨宇硕 Woo-seok Yang, 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),电影的现实意义大过电影本身。,9.2,2013
46,嫩 法国 美国剧情, 娜丁·拉巴基 Nadine Labaki, 扎因·拉费阿 Zain al-Rafeea / ...,何以为家 / كفرناحوم / 迦百农  /  星仔打官司(港),凝视卑弱生命，用电影改变命运。,9.1,2018
47,剧情 悬疑, 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,无法显示,窃听风暴 / Das Leben der Anderen / 窃听者(港)  /  他人的生活,别样人生。,9.1,2006
48,剧情, 彼得·威尔 Peter Weir, 罗宾·威廉姆斯 Robin Williams / 罗伯...,死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.1,1989
49,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A...,教父2 / The Godfather: Part Ⅱ / 教父续集  /  教父II,优雅的孤独。,9.2,1974
